timestamp,spot_id,status,user_id,booked_end
2023-01-01 00:55:00,Lot-A-41,occupied,user_1,2023-01-01 04:18:00
2023-01-01 01:45:00,Lot-A-44,occupied,user_2,2023-01-01 05:21:00
2023-01-01 02:20:00,Lot-A-42,occupied,user_3,2023-01-01 05:35:00
2023-01-01 02:52:00,Lot-A-20,occupied,user_4,2023-01-01 04:53:00
2023-01-01 03:51:00,Lot-A-46,occupied,user_5,2023-01-01 07:35:00
2023-01-01 04:18:00,Lot-A-41,free,user_1,2023-01-01 04:18:00
2023-01-01 04:31:00,Lot-A-28,occupied,user_6,2023-01-01 05:46:00
2023-01-01 04:53:00,Lot-A-20,free,user_4,2023-01-01 04:53:00
2023-01-01 05:03:00,Lot-A-22,occupied,user_7,2023-01-01 08:15:00
2023-01-01 05:35:00,Lot-A-42,free,user_3,2023-01-01 05:35:00
2023-01-01 05:46:00,Lot-A-28,free,user_6,2023-01-01 05:46:00
2023-01-01 05:46:00,Lot-A-44,free,user_2,2023-01-01 05:21:00
2023-01-01 05:51:00,Lot-A-37,occupied,user_8,2023-01-01 07:15:00
2023-01-01 06:33:00,Lot-A-32,occupied,user_9,2023-01-01 10:07:00
2023-01-01 07:07:00,Lot-A-42,occupied,user_10,2023-01-01 08:37:00
2023-01-01 07:15:00,Lot-A-37,free,user_8,2023-01-01 07:15:00
2023-01-01 07:35:00,Lot-A-46,free,user_5,2023-01-01 07:35:00
2023-01-01 07:49:00,Lot-A-24,occupied,user_11,2023-01-01 09:03:00
2023-01-01 08:15:00,Lot-A-22,free,user_7,2023-01-01 08:15:00
2023-01-01 08:37:00,Lot-A-42,free,user_10,2023-01-01 08:37:00
2023-01-01 08:45:00,Lot-A-19,occupied,user_12,2023-01-01 11:21:00
2023-01-01 08:47:00,Lot-A-23,occupied,user_13,2023-01-01 09:54:00
2023-01-01 08:52:00,Lot-A-31,occupied,user_14,2023-01-01 11:01:00
2023-01-01 08:58:00,Lot-A-35,occupied,user_15,2023-01-01 10:29:00
2023-01-01 09:02:00,Lot-A-47,occupied,user_16,2023-01-01 11:12:00
2023-01-01 09:03:00,Lot-A-24,free,user_11,2023-01-01 09:03:00
2023-01-01 09:11:00,Lot-A-37,occupied,user_17,2023-01-01 11:39:00
2023-01-01 09:12:00,Lot-A-21,occupied,user_18,2023-01-01 13:03:00
2023-01-01 09:21:00,Lot-A-11,occupied,user_19,2023-01-01 11:15:00
2023-01-01 09:26:00,Lot-A-08,occupied,user_20,2023-01-01 12:28:00
2023-01-01 09:29:00,Lot-A-29,occupied,user_21,2023-01-01 12:23:00
2023-01-01 09:33:00,Lot-A-18,occupied,user_22,2023-01-01 10:45:00
2023-01-01 09:38:00,Lot-A-22,occupied,user_23,2023-01-01 11:39:00
2023-01-01 09:39:00,Lot-A-27,occupied,user_24,2023-01-01 13:14:00
2023-01-01 09:40:00,Lot-A-20,occupied,user_25,2023-01-01 11:03:00
2023-01-01 09:41:00,Lot-A-45,occupied,user_26,2023-01-01 11:42:00
2023-01-01 09:42:00,Lot-A-16,occupied,user_27,2023-01-01 10:48:00
2023-01-01 09:45:00,Lot-A-36,occupied,user_28,2023-01-01 13:02:00
2023-01-01 09:52:00,Lot-A-10,occupied,user_29,2023-01-01 12:17:00
2023-01-01 09:54:00,Lot-A-23,free,user_13,2023-01-01 09:54:00
2023-01-01 10:01:00,Lot-A-38,occupied,user_30,2023-01-01 13:04:00
2023-01-01 10:07:00,Lot-A-33,occupied,user_31,2023-01-01 13:03:00
2023-01-01 10:07:00,Lot-A-32,free,user_9,2023-01-01 10:07:00
2023-01-01 10:16:00,Lot-A-34,occupied,user_32,2023-01-01 13:37:00
2023-01-01 10:25:00,Lot-A-48,occupied,user_33,2023-01-01 12:43:00
2023-01-01 10:27:00,Lot-A-01,occupied,user_34,2023-01-01 12:18:00
2023-01-01 10:29:00,Lot-A-35,free,user_15,2023-01-01 10:29:00
2023-01-01 10:36:00,Lot-A-35,occupied,user_35,2023-01-01 14:35:00
2023-01-01 10:44:00,Lot-A-41,occupied,user_36,2023-01-01 12:56:00
2023-01-01 10:45:00,Lot-A-18,free,user_22,2023-01-01 10:45:00
2023-01-01 10:45:00,Lot-A-39,occupied,user_37,2023-01-01 13:46:00
2023-01-01 10:48:00,Lot-A-16,free,user_27,2023-01-01 10:48:00
2023-01-01 10:52:00,Lot-A-18,occupied,user_38,2023-01-01 13:06:00
2023-01-01 10:58:00,Lot-A-17,occupied,user_39,2023-01-01 12:37:00
2023-01-01 11:01:00,Lot-A-31,free,user_14,2023-01-01 11:01:00
2023-01-01 11:02:00,Lot-A-31,occupied,user_40,2023-01-01 13:24:00
2023-01-01 11:03:00,Lot-A-20,free,user_25,2023-01-01 11:03:00
2023-01-01 11:11:00,Lot-A-28,occupied,user_41,2023-01-01 14:34:00
2023-01-01 11:12:00,Lot-A-47,free,user_16,2023-01-01 11:12:00
2023-01-01 11:15:00,Lot-A-11,free,user_19,2023-01-01 11:15:00
2023-01-01 11:15:00,Lot-A-42,occupied,user_42,2023-01-01 15:07:00
2023-01-01 11:20:00,Lot-A-15,occupied,user_43,2023-01-01 12:45:00
2023-01-01 11:29:00,Lot-A-19,free,user_12,2023-01-01 11:21:00
2023-01-01 11:29:00,Lot-A-07,occupied,user_44,2023-01-01 14:09:00
2023-01-01 11:33:00,Lot-A-05,occupied,user_45,2023-01-01 13:51:00
2023-01-01 11:39:00,Lot-A-22,free,user_23,2023-01-01 11:39:00
2023-01-01 11:42:00,Lot-A-25,occupied,user_46,2023-01-01 14:21:00
2023-01-01 11:42:00,Lot-A-45,free,user_26,2023-01-01 11:42:00
2023-01-01 11:43:00,Lot-A-20,occupied,user_47,2023-01-01 13:47:00
2023-01-01 11:50:00,Lot-A-26,occupied,user_48,2023-01-01 14:09:00
2023-01-01 11:51:00,Lot-A-32,occupied,user_49,2023-01-01 12:56:00
2023-01-01 11:57:00,Lot-A-12,occupied,user_50,2023-01-01 13:08:00
2023-01-01 12:04:00,Lot-A-47,occupied,user_51,2023-01-01 13:36:00
2023-01-01 12:07:00,Lot-A-22,occupied,user_52,2023-01-01 13:54:00
2023-01-01 12:08:00,Lot-A-37,free,user_17,2023-01-01 11:39:00
2023-01-01 12:14:00,Lot-A-40,occupied,user_53,2023-01-01 15:33:00
2023-01-01 12:16:00,Lot-A-11,occupied,user_54,2023-01-01 14:24:00
2023-01-01 12:17:00,Lot-A-10,free,user_29,2023-01-01 12:17:00
2023-01-01 12:18:00,Lot-A-01,free,user_34,2023-01-01 12:18:00
2023-01-01 12:23:00,Lot-A-37,occupied,user_55,2023-01-01 15:06:00
2023-01-01 12:23:00,Lot-A-29,free,user_21,2023-01-01 12:23:00
2023-01-01 12:28:00,Lot-A-45,occupied,user_56,2023-01-01 15:47:00
2023-01-01 12:28:00,Lot-A-08,free,user_20,2023-01-01 12:28:00
2023-01-01 12:31:00,Lot-A-03,occupied,user_57,2023-01-01 15:39:00
2023-01-01 12:34:00,Lot-A-04,occupied,user_58,2023-01-01 14:37:00
2023-01-01 12:37:00,Lot-A-17,free,user_39,2023-01-01 12:37:00
2023-01-01 12:41:00,Lot-A-30,occupied,user_59,2023-01-01 15:01:00
2023-01-01 12:45:00,Lot-A-15,free,user_43,2023-01-01 12:45:00
2023-01-01 12:50:00,Lot-A-46,occupied,user_60,2023-01-01 16:15:00
2023-01-01 12:56:00,Lot-A-01,occupied,user_61,2023-01-01 14:41:00
2023-01-01 12:56:00,Lot-A-41,free,user_36,2023-01-01 12:56:00
2023-01-01 12:56:00,Lot-A-32,free,user_49,2023-01-01 12:56:00
2023-01-01 13:01:00,Lot-A-48,free,user_33,2023-01-01 12:43:00
2023-01-01 13:02:00,Lot-A-36,free,user_28,2023-01-01 13:02:00
2023-01-01 13:02:00,Lot-A-08,occupied,user_62,2023-01-01 15:15:00
2023-01-01 13:03:00,Lot-A-33,free,user_31,2023-01-01 13:03:00
2023-01-01 13:03:00,Lot-A-21,free,user_18,2023-01-01 13:03:00
2023-01-01 13:08:00,Lot-A-12,free,user_50,2023-01-01 13:08:00
2023-01-01 13:11:00,Lot-A-38,occupied,user_63,2023-01-01 16:27:00
2023-01-01 13:11:00,Lot-A-38,free,user_30,2023-01-01 13:04:00
2023-01-01 13:14:00,Lot-A-18,free,user_38,2023-01-01 13:06:00
2023-01-01 13:14:00,Lot-A-27,free,user_24,2023-01-01 13:14:00
2023-01-01 13:14:00,Lot-A-43,occupied,user_64,2023-01-01 16:54:00
2023-01-01 13:18:00,Lot-A-06,occupied,user_65,2023-01-01 17:04:00
2023-01-01 13:25:00,Lot-A-23,occupied,user_66,2023-01-01 15:15:00
2023-01-01 13:32:00,Lot-A-44,occupied,user_67,2023-01-01 17:27:00
2023-01-01 13:36:00,Lot-A-47,free,user_51,2023-01-01 13:36:00
2023-01-01 13:37:00,Lot-A-34,occupied,user_68,2023-01-01 14:40:00
2023-01-01 13:37:00,Lot-A-34,free,user_32,2023-01-01 13:37:00
2023-01-01 13:41:00,Lot-A-31,free,user_40,2023-01-01 13:24:00
2023-01-01 13:43:00,Lot-A-21,occupied,user_69,2023-01-01 15:52:00
2023-01-01 13:46:00,Lot-A-39,free,user_37,2023-01-01 13:46:00
2023-01-01 13:46:00,Lot-A-50,occupied,user_70,2023-01-01 15:13:00
2023-01-01 13:47:00,Lot-A-20,free,user_47,2023-01-01 13:47:00
2023-01-01 13:51:00,Lot-A-05,free,user_45,2023-01-01 13:51:00
2023-01-01 13:54:00,Lot-A-22,free,user_52,2023-01-01 13:54:00
2023-01-01 13:55:00,Lot-A-02,occupied,user_71,2023-01-01 17:01:00
2023-01-01 13:56:00,Lot-A-05,occupied,user_72,2023-01-01 17:38:00
2023-01-01 13:59:00,Lot-A-22,occupied,user_73,2023-01-01 15:53:00
2023-01-01 14:05:00,Lot-A-39,occupied,user_74,2023-01-01 15:25:00
2023-01-01 14:09:00,Lot-A-26,free,user_48,2023-01-01 14:09:00
2023-01-01 14:09:00,Lot-A-07,free,user_44,2023-01-01 14:09:00
2023-01-01 14:11:00,Lot-A-12,occupied,user_75,2023-01-01 17:10:00
2023-01-01 14:18:00,Lot-A-29,occupied,user_76,2023-01-01 15:50:00
2023-01-01 14:21:00,Lot-A-25,free,user_46,2023-01-01 14:21:00
2023-01-01 14:23:00,Lot-A-26,occupied,user_77,2023-01-01 15:32:00
2023-01-01 14:24:00,Lot-A-11,free,user_54,2023-01-01 14:24:00
2023-01-01 14:25:00,Lot-A-47,occupied,user_78,2023-01-01 17:56:00
2023-01-01 14:26:00,Lot-A-41,occupied,user_79,2023-01-01 17:41:00
2023-01-01 14:34:00,Lot-A-28,free,user_41,2023-01-01 14:34:00
